model,metric,automatic_estimate,human_estimate,automatic_minus_human,ci_low,ci_high,human_label_source
pixart_sigma,mean_accuracy,0.44140625,0.634765625,-0.193359375,-0.291015625,-0.103515625,human_primary
pixart_sigma,empirical_worst_accuracy,0.3203125,0.484375,-0.1640625,-0.25,-0.078125,human_primary
pixart_sigma,crossfit_worst_accuracy,0.4191778273809524,0.5796316964285714,-0.16045386904761905,-0.2609905133928571,-0.06313569568452389,human_primary
pixart_sigma,all_wordings_accuracy,0.2890625,0.4140625,-0.125,-0.1953125,-0.0625,human_primary
pixart_sigma,wording_disagreement,0.20182291666666666,0.1657986111111111,0.03602430555555555,0.0017333984374999975,0.06846788194444445,human_primary
pixart_sigma,seed_disagreement,0.25158110119047616,0.20414806547619044,0.04743303571428572,0.005340866815476196,0.09165852864583333,human_primary
pixart_sigma,variance_wording,0.011830647786458334,0.010233561197916666,0.0015970865885416667,-0.002202351888020833,0.005259195963541667,human_primary
pixart_sigma,variance_seed,0.04621378580729167,0.037373860677083336,0.008839925130208334,-0.002365875244140625,0.0194257100423177,human_primary
pixart_sigma,variance_interaction,0.06385294596354166,0.05194091796875,0.011912027994791666,0.0019774119059244788,0.021344629923502587,human_primary
pixart_sigma,variance_total,0.12189737955729167,0.09954833984375,0.022349039713541668,0.0018895467122395835,0.04418462117513021,human_primary
pixart_sigma,semantic_jsd,0.05618467972787261,0.03901670683653772,0.017167972891334888,0.002941215971792572,0.033494064433784755,human_primary
sd15,mean_accuracy,0.27734375,0.357421875,-0.080078125,-0.123046875,-0.0390625,human_primary
sd15,empirical_worst_accuracy,0.1796875,0.234375,-0.0546875,-0.09375,-0.015625,human_primary
sd15,crossfit_worst_accuracy,0.2562127976190476,0.3472284226190476,-0.09101562499999999,-0.1405096726190476,-0.042743675595238104,human_primary
sd15,all_wordings_accuracy,0.15625,0.15625,0.0,-0.0234375,0.03125,human_primary
sd15,wording_disagreement,0.23849826388888884,0.2709418402777778,-0.032443576388888895,-0.08094618055555555,0.014114040798611064,human_primary
sd15,seed_disagreement,0.2907366071428571,0.3284505208333333,-0.03771391369047619,-0.07464308965773808,-0.0013474237351190528,human_primary
sd15,variance_wording,0.018483479817708332,0.018437703450520832,4.577636718749989e-05,-0.004313405354817708,0.005569712320963541,human_primary
sd15,variance_seed,0.056243896484375,0.0605316162109375,-0.0042877197265625,-0.011450831095377603,0.0031541188557942666,human_primary
sd15,variance_interaction,0.070953369140625,0.08316548665364584,-0.012212117513020834,-0.027593104044596355,0.0021161397298177054,human_primary
sd15,variance_total,0.14568074544270834,0.16213480631510416,-0.016454060872395832,-0.034210205078125,0.002445348103841126,human_primary
sd15,semantic_jsd,0.06752360188939215,0.06511032248419685,0.002413279405195313,-0.007782194236158931,0.012661207734260273,human_primary
sdxl,mean_accuracy,0.255859375,0.33203125,-0.076171875,-0.109375,-0.044873046875000266,human_primary
sdxl,empirical_worst_accuracy,0.15625,0.203125,-0.046875,-0.09375,0.0,human_primary
sdxl,crossfit_worst_accuracy,0.2369605654761905,0.3146205357142857,-0.07765997023809525,-0.13833379836309528,-0.015270647321428592,human_primary
sdxl,all_wordings_accuracy,0.1328125,0.1328125,0.0,-0.0234375,0.0234375,human_primary
sdxl,wording_disagreement,0.22384982638888887,0.2645399305555555,-0.04069010416666666,-0.0829128689236111,0.013460286458333312,human_primary
sdxl,seed_disagreement,0.30268787202380953,0.3952752976190476,-0.09258742559523811,-0.11374744233630951,-0.07189360119047622,human_primary
sdxl,variance_wording,0.012140909830729166,0.015848795572916664,-0.0037078857421875,-0.008580780029296875,0.0008141835530598939,human_primary
sdxl,variance_seed,0.0606231689453125,0.08957926432291667,-0.028956095377604168,-0.043701171875,-0.015522257486979175,human_primary
sdxl,variance_interaction,0.07180277506510416,0.08335367838541667,-0.0115509033203125,-0.025586318969726563,0.005584462483723903,human_primary
sdxl,variance_total,0.14456685384114581,0.18878173828125,-0.044214884440104164,-0.05650482177734375,-0.03218460083007813,human_primary
sdxl,semantic_jsd,0.05331142666563996,0.06352553216975924,-0.010214105504119284,-0.025667996485148732,0.0037827972767871276,human_primary
